Round,CWND,SSThresh,RTT,PacketLoss
1,2,8,62,0
2,4,8,17,0
3,8,8,19,0
4,9,8,38,0
5,1,4,12,1
6,2,4,6,0
7,4,4,7,0
8,5,4,9,0
9,6,4,11,0
10,1,3,4,1
11,2,3,5,0
12,4,3,7,0
13,5,3,10,0
14,1,2,11,1
15,2,2,5,0
